Straßennummer,Straßenname,Ortsbezirk,Stadtteil Name,Stadtbezirk,Stadtbezirksvorst,Schiedsleutebezirk,Sozialrathaus Name,Polizeirevier,Postleitzahl,Address,Latitude,Longitude,class,type
49,Alte Niddabrücke,6,Nied,561,6.42,6A,Höchst,16.0,65934,Alte Niddabrücke 65934 Frankfurt,50.1002908,8.5641729,highway,way
3484,Alte Riedbergstraße,12,Kalbach-Riedberg,650,12.79,12,Nord,14.0,60437,Alte Riedbergstraße 60437 Frankfurt,50.1853757,8.6461174,highway,way
51,Alte Rothofstraße,1,Innenstadt,50,1.02,1,Ost,1.0,60313,Alte Rothofstraße 60313 Frankfurt,50.1131153,8.6752023,highway,way
41,Altebergs-Zwerchgäßchen,5,Sachsenhausen-S.,332,5.29,5A,Sachsenhausen,8.0,60599,Altebergs-Zwerchgäßchen 60599 Frankfurt,50.0919603,8.710023,highway,way
38,Altebergsgäßchen I. (Erstes),5,Sachsenhausen-S.,332,5.29,5A,Sachsenhausen,8.0,60599,Altebergsgäßchen I. (Erstes) 60599 Frankfurt,,,,
39,Altebergsgäßchen II. (Zweites),5,Sachsenhausen-S.,332,5.29,5A,Sachsenhausen,8.0,60599,Altebergsgäßchen II. (Zweites) 60599 Frankfurt,,,,
40,Altebergsweg,5,Sachsenhausen-S.,332,5.29,5A,Sachsenhausen,8.0,60599,Altebergsweg 60599 Frankfurt,50.0934015,8.7130553,highway,way
42,Altebornstraße,11,Seckbach,390,11.75,11,Ost,6.0,60389,Altebornstraße 60389 Frankfurt,50.1411673,8.7240997,highway,way
48,Altenburger Weg,6,Zeilsheim,611,6.49,6B,Höchst,17.0,65931,Altenburger Weg 65931 Frankfurt,50.0935373,8.5008782,highway,way
3649,Altenhainer Straße,1,Gallus,162,1.07,1,Gallus,4.0,60326,Altenhainer Straße 60326 Frankfurt,50.1065512,8.6324143,highway,way
3414,Altenhöferallee,8,Niederursel,484,8.63,8,Nord,14.0,60438,Altenhöferallee 60438 Frankfurt,50.1771368,8.6301461,highway,way
3735,Alter Gerichtsplatz,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Alter Gerichtsplatz 60438 Frankfurt,50.17714745,8.637048163852041,highway,way
3778,Alter Harheimer Kirchplatz,14,Harheim,660,14.81,14,Nord,14.0,60437,Alter Harheimer Kirchplatz 60437 Frankfurt,50.18220719999999,8.692776127539005,highway,way
52,Alter Schulpfad,6,Nied,561,6.42,6A,Höchst,16.0,65934,Alter Schulpfad 65934 Frankfurt,50.0995548,8.5652867,highway,way
3207,Alter Wartweg,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Alter Wartweg 60388 Frankfurt,50.1554019,8.7428479,highway,way
57,Altes Schützenhüttengäßchen,5,Sachsenhausen-S.,332,5.29,5A,Sachsenhausen,8.0,60599,Altes Schützenhüttengäßchen 60599 Frankfurt,50.0923478,8.6942108,highway,way
63,Altheimstraße,9,Eschersheim,452,9.66,9,Dornbusch,12.0,60431,Altheimstraße 60431 Frankfurt,50.1555425,8.6554827,highway,way
3507,Altkönigblick,14,Harheim,660,14.81,14,Nord,14.0,60437,Altkönigblick 60437 Frankfurt,50.1880352,8.6942009,highway,way
65,Altkönigstraße,2,Westend-Süd,180,2.1,2,Bockenheim,3.0,60323,Altkönigstraße 60323 Frankfurt,50.1209257,8.665503,highway,way
2738,Altvaterstraße,15,Nieder-Eschbach,670,15.82,15,Nord,14.0,60437,Altvaterstraße 60437 Frankfurt,50.2030214,8.6687217,highway,way
76,Alzeyer Straße,6,Nied,561,6.42,6A,Höchst,16.0,65934,Alzeyer Straße 65934 Frankfurt,50.0973242,8.5755231,highway,way
77,Am Abtshof,6,Schwanheim,531,6.38,6A,Sachsenhausen,10.0,60529,Am Abtshof 60529 Frankfurt,50.0866,8.5812615,highway,way
3380,Am Alten Friedhof,5,Sachsenhausen-N.,324,5.32,5A,Sachsenhausen,8.0,60594,Am Alten Friedhof 60594 Frankfurt,50.1038542,8.686972559807792,leisure,way
79,Am Alten Schloß,8,Praunheim,426,8.62,7,Nord,14.0,60439,Am Alten Schloß 60439 Frankfurt,50.1555179,8.6235523,highway,way
80,Am Alten See,7,Rödelheim,401,7.55,7,Bockenheim,11.0,60489,Am Alten See 60489 Frankfurt,50.1276794,8.6110754,highway,way
3361,Am Alten Volkshaus,11,Riederwald,262,11.76,11,Ost,18.0,60386,Am Alten Volkshaus 60386 Frankfurt,50.1287744,8.7310033,highway,way
81,Am Ameisenberg,4,Bornheim,272,4.22,4,Ost,6.0,60385,Am Ameisenberg 60385 Frankfurt,50.1325033,8.7125437,highway,way
83,Am Atzelberg,11,Seckbach,390,11.75,11,Ost,6.0,60389,Am Atzelberg 60389 Frankfurt,50.1404087,8.7211645,highway,way
84,Am Auerborn,6,Schwanheim,532,6.37,6A,Sachsenhausen,10.0,60529,Am Auerborn 60529 Frankfurt,50.0859628,8.5972513,highway,way
2707,Am Auweg,14,Harheim,660,14.81,14,Nord,14.0,60437,Am Auweg 60437 Frankfurt,50.1808882,8.6900604,highway,way
85,Am Bachberg,10,Preungesheim,470,10.73,10,Dornbusch,12.0,60435,Am Bachberg 60435 Frankfurt,50.1563678,8.688845,highway,way
2837,Am Bächelchen,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Am Bächelchen 60388 Frankfurt,50.1515039,8.7572931,highway,way
2838,Am Berger Spielhaus,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Am Berger Spielhaus 60388 Frankfurt,50.1552657,8.7540024,highway,way
2839,Am Bienenstock,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Am Bienenstock 60388 Frankfurt,50.1554292,8.7585282,highway,way
2638,Am Bier,13,Nieder-Erlenbach,640,13.8,13,Nord,14.0,60437,Am Bier 60437 Frankfurt,50.205834,8.7153895,highway,way
3077,Am Bonifatiusbrunnen,12,Kalbach-Riedberg,651,12.79,12,Nord,14.0,60438,Am Bonifatiusbrunnen 60438 Frankfurt,50.1749502,8.6401116,highway,way
88,Am Börnchen,6,Schwanheim,532,6.37,6A,Sachsenhausen,10.0,60529,Am Börnchen 60529 Frankfurt,50.0847413,8.5943301,highway,way
89,Am Bornheimer Hang,4,Bornheim,281,4.24,4,Ost,6.0,60386,Am Bornheimer Hang 60386 Frankfurt,50.1323078,8.7204484,highway,way
3385,Am Borsdorfer,10,Preungesheim,470,10.73,10,Dornbusch,12.0,60435,Am Borsdorfer 60435 Frankfurt,50.1552613,8.7020387,highway,way
91,Am Brennhaus,6,Griesheim,541,6.39,6A,Gallus,16.0,65933,Am Brennhaus 65933 Frankfurt,50.0936955,8.6102516,highway,way
92,Am Brückengarten,9,Eschersheim,452,9.66,9,Dornbusch,12.0,60431,Am Brückengarten 60431 Frankfurt,50.1575334,8.6537925,highway,way
